VOLKRAJ,N,2,0;KSTRANA,N,3,0;PORCISLO,N,2,0;JMENO,C,40;PRIJMENI,C,30;TITULPRED,C,20;TITULZA,C,15;VEK,N,2,0;POVOLANI,C,30;BYDLISTEN,C,40;BYDLISTEK,N,6,0;PSTRANA,N,3,0;NSTRANA,N,3,0;PLATNOST,N,1,0;POCHLASU,N,7,0;POCPROC,N,6,2;POCPROCVSE,N,6,2;MANDAT,N,1,0;PORADIMAND,N,2,0;PORADINAHR,N,2,0
1;1;1;Jaroslav;Zavadil;;;69;předseda ČMKOS;Nové Město nad Metují;574279;99;7;0;;;;;;
1;1;2;Štěpán;Stupčuk;JUDr.;;37;místostarosta Prahy 6;Praha;1;7;7;0;;;;;;
1;1;3;František;Adámek;Bc.;;58;pedagog;Praha;1;7;7;0;;;;;;
1;1;4;Hana;Nováková;;;55;zastupitelka;Praha;1;7;7;0;;;;;;
1;1;5;Karel;Klíma;Ing.;;37;ekonomický manažer;Praha;1;7;7;0;;;;;;
1;1;6;Miroslava;Oubrechtová;;;53;zástupkyně starosty;Praha;1;7;7;0;;;;;;
1;1;7;Pavol;Škrak;Ing.;;62;radní MČ Praha 1;Praha;1;7;7;0;;;;;;
1;1;8;Jana;Trková;MUDr.;;60;lékařka, zást. star. MČ Pha 15;Praha;1;7;7;0;;;;;;
1;1;9;David;Beňák;Mgr.;DiS.;34;úředník, VŠ pedagog na FF UK;Praha;1;7;7;0;;;;;;
1;1;10;Roman;Petrus;;;35;publicista, zastupitel;Praha;1;7;7;0;;;;;;
1;1;11;Michaela;Marksová;Mgr.;;44;pedagožka, publicistka;Praha;1;7;7;0;;;;;;
1;1;12;Jiří;Koskuba;MUDr.;;57;primář ll.int. Nem. Na Bulovce;Praha;1;7;7;0;;;;;;
1;1;13;Miroslav;Svoboda;Ing.;;51;ekonom;Praha;1;7;7;0;;;;;;
1;1;14;Miroslav;Václavek;Ing.;;58;dopravní expert;Praha;1;7;7;0;;;;;;
1;1;15;Karel;Šplíchal;PhDr.;;66;historik, zast. MČ Praha 4;Praha;1;7;7;0;;;;;;
1;1;16;Ondřej;Miffek;Ing.;Ph.D.;31;vicepresident Afgan Czech UC;Praha;1;7;7;0;;;;;;
1;1;17;Drahoslav;Matonoha;Ing.;;56;ředitel SŠT Zelený pruh;Praha;1;7;7;0;;;;;;
1;1;18;Leoš;Paclík;;;35;živnostník;Praha;1;7;7;0;;;;;;
1;1;19;Tomáš;Zahradnický;Ing.;Ph.D.;34;VŠ pedagog na ČVUT v Praze;Praha;1;7;7;0;;;;;;
1;1;20;Kateřina;Peštová;;;30;konzult. v obl. zdravotnictví;Praha;1;7;7;0;;;;;;
1;1;21;Marie;Vaicová;Ing.;;68;ekonom, zast. MČ Praha 17;Praha;1;7;7;0;;;;;;
1;1;22;Drahoslava;Krejčová;;;51;ředitelka OPS;Praha;1;7;7;0;;;;;;
1;1;23;Lenka;Majerová;Ing.;;69;středoškolská učitelka;Praha;1;7;7;0;;;;;;
1;1;24;Jiří;Vohlídal;Ing.;Ph.D.;37;programátor analytik;Praha;1;7;7;0;;;;;;
1;1;25;Emil;Voráček;PhDr.;DrSc.;63;vědecký pracovník HÚ AV ČR;Praha;1;7;7;0;;;;;;
1;1;26;Milan;Hejkrlík;Ing.;;35;ekonom;Praha;1;7;7;0;;;;;;
1;1;27;Ľubica;Riedlbauchová;Mgr.;;69;kurátorka výstav;Praha;1;7;7;0;;;;;;
1;1;28;Břetislav;Vodák;Ing.;;60;zást. starosty MČ Praha 14;Praha;1;7;7;0;;;;;;
1;1;29;Miloslav;Mandík;MUDr.;;47;chirurg, VŠ pedagog 1. LF UK;Praha;1;7;7;0;;;;;;
1;1;30;Hana;Halová;Mgr.;;60;právnička;Praha;1;7;7;0;;;;;;
1;1;31;Jiřina;Vondráková;;;62;členka RMČ Praha 10;Praha;1;7;7;0;;;;;;
1;1;32;Eva;Zikmundová;;;58;zastupitelka;Praha;1;7;7;0;;;;;;
